MakeValue|ModelValue|ModelGroup|Model_Description|MotorType|SumInsured|ClaimTypeValue|CC|Seat|Weight|AgeDriver|AgeCar|AgeCarMax|BasePremium|MainPremium|EndorsePremium01|EndorsePremium02|EndorsePremium03|DriverDiscountRate|DriverDiscount|GroupDiscountRate|GroupDiscountAmt|HistoryDiscountRate|HistoryDiscountAmt|OtherDiscountRate|OtherDiscountAmt|PlusPremium1|PlusPremium2|NetPremium|Stamp|VAT|TotalPremium|DeductAmt|FIRE&THEFT|TPPI_P|TPPI_C|TPPD|Bail Bond|PA_Driver|PA_Passengers|MED|CommissionRate|PromotionDiscountRate|PromotionDiscountAmt|PromotionEffectiveDate|PromotionExpiryDate|CarGroup|ProductType
Ford|Ranger_2DR|Ranger|Pickup 2dr Open Cab XLS VG Turbo 4x2 Hi-Rider 6MT RWD 2.2L|210|590000|02|2200|3|3000||1|5||||||||||||||||18151.00|73.00|1275.68|19500.00||590000|500000.00|10000000.00|1000000.00|200000.00|50000.00|50000.00|50000.00|23.00%||||||1
Ford|Ranger_2DR|Ranger|Pickup 2dr Open Cab XLS Turbo 4x4 6MT 4WD 2.2L|210|600000|02|2200|3|3000||1|5||||||||||||||||18151.00|73.00|1275.68|19500.00||600000|500000.00|10000000.00|1000000.00|200000.00|50000.00|50000.00|50000.00|23.00%||||||1
Ford|Ranger_4DR|Ranger|Pickup 4dr FX4 Double Cab VG Turbo 4x2 Hi-Rider 6MT RWD 2.2L|110|700000|02|2200|7|||1|5||||||||||||||||19082.00|77.00|1341.13|20500.00||700000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Ford|Ranger_4DR|Ranger|Pickup 4dr FX4 Double Cab VG Turbo 4x2 Hi-Rider 6AT RWD 2.2L|110|730000|02|2200|7|||1|5||||||||||||||||20478.00|82.00|1439.20|22000.00||730000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Cruze|Cruze|Sedan 4dr Base Man 5sp FWD 1.6i|110|600000|02|1600|7|||1|5||||||||||||||||17686.00|71.00|1242.99|19000.00||600000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Cruze|Cruze|Sedan 4dr LS SA 6sp FWD 1.6i|110|660000|02|1600|7|||1|5||||||||||||||||19082.00|77.00|1341.13|20500.00||660000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Cruze|Cruze|Sedan 4dr LT SA 6sp FWD 1.6i|110|690000|02|1600|7|||1|5||||||||||||||||19082.00|77.00|1341.13|20500.00||690000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Cruze|Cruze|Sedan 4dr LS SA 6sp FWD 1.8i|110|710000|02|1800|7|||1|5||||||||||||||||20478.00|82.00|1439.20|22000.00||710000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Cruze|Cruze|Sedan 4dr LT SA 6sp FWD 1.8i|110|740000|02|1800|7|||1|5||||||||||||||||20478.00|82.00|1439.20|22000.00||740000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Cruze|Cruze|Sedan 4dr LTZ SA 6sp FWD 1.8i|110|790000|02|1800|7|||1|5||||||||||||||||20478.00|82.00|1439.20|22000.00||790000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Cruze|Cruze|Sedan 4dr LTZ SA 6sp FWD 2.0DCT|110|990000|02|2000|7|||1|5||||||||||||||||23271.00|94.00|1635.55|25000.00||990000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Spin|Spin|Wagon 4dr LTZ 7st Auto 6sp FWD 1.5i (CBU)|110|600000|02|1500|7|||1|5||||||||||||||||17686.00|71.00|1242.99|19000.00||600000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Captiva|Captiva|Wagon 4dr LT 7st Tiptronic 6sp FWD 2.4i|110|1200000|02|2400|7|||1|5||||||||||||||||26063.00|105.00|1831.76|28000.00||1200000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Sonic|Sonic|Hatch 4dr LT Man 5sp FWD 1.4i|110|480000|02|1400|7|||1|5||||||||||||||||17220.00|69.00|1210.23|18500.00||480000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Chevrolet|Sonic|Sonic|Hatch 4dr LT Auto 6sp FWD 1.4i|110|500000|02|1400|7|||1|5||||||||||||||||17220.00|69.00|1210.23|18500.00||500000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Chevrolet|Sonic|Sonic|Sedan 4dr LS Man 5sp FWD 1.4i|110|430000|02|1400|7|||1|5||||||||||||||||17220.00|69.00|1210.23|18500.00||430000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Chevrolet|Sonic|Sonic|Sedan 4dr LS Auto 6sp FWD 1.4i|110|460000|02|1400|7|||1|5||||||||||||||||17220.00|69.00|1210.23|18500.00||460000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Chevrolet|Sonic|Sonic|Sedan 4dr LT Man 5sp FWD 1.4i|110|470000|02|1400|7|||1|5||||||||||||||||17220.00|69.00|1210.23|18500.00||470000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Chevrolet|Sonic|Sonic|Sedan 4dr LT Auto 6sp FWD 1.6i|110|530000|02|1600|7|||1|5||||||||||||||||18151.00|73.00|1275.68|19500.00||530000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Chevrolet|Sonic|Sonic|Sedan 4dr LTZ Auto 6sp FWD 1.6i|110|560000|02|1600|7|||1|5||||||||||||||||18151.00|73.00|1275.68|19500.00||560000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
